번호,작성자,작성일,댓글,회차,좋아요,대댓글수,댓글_전처리,댓글_토큰,감정_라벨
9725,쿠쿠루삥뽕,18.05.30,김비 미소 하늘 미소 추상 시원하다 느낌 뜨겁다 태양 배경 되어다 넓다 푸른빛 떠오르다 가끔 별똥별 보이 보기 위해 항상 쳐다보다 시원하다 비도 내다 항상 머리 하늘 미소 항상 재미있다 읽다 읽다 대가 되다 읽다 읽다 되다 어떻다,김 비서가 왜 그럴까,1,1,김비 미소 하늘 미소 추상 시원하다 느낌 뜨겁다 태양 배경 되어다 넓다 푸른빛 떠오르다 가끔 별똥별 보이 보기 위해 항상 쳐다보다 시원하다 비도 내다 항상 머리 하늘 미소 항상 재미있다 읽다 읽다 대가 되다 읽다 읽다 되다 어떻다,"['김비', '미소', '하늘', '미소', '추상', '시원하다', '느낌', '뜨겁다', '태양', '배경', '되어다', '넓다', '푸른빛', '떠오르다', '가끔', '별똥별', '보이', '보기', '위해', '항상', '쳐다보다', '시원하다', '비도', '내다', '항상', '머리', '하늘', '미소', '항상', '재미있다', '읽다', '읽다', '대가', '되다', '읽다', '읽다', '되다', '어떻다']",Positive
9726,키키키,18.05.30,김비 미소 좋다 미소 미소 촤악 붙다 않다 진짜 기대 되다 어떻다 구성 되다,김 비서가 왜 그럴까,1,댓글 달기,김비 미소 좋다 미소 미소 촤악 붙다 않다 진짜 기대 되다 어떻다 구성 되다,"['김비', '미소', '좋다', '미소', '미소', '촤악', '붙다', '않다', '진짜', '기대', '되다', '어떻다', '구성', '되다']",Positive
9727,라온제나,18.05.30,드라마 대중 미소 비서 예쁘다 기도 아주 똑똑하다 성연 모순 발견 하다,김 비서가 왜 그럴까(애장판) 35화,1,댓글 달기,드라마 대중 미소 비서 예쁘다 기도 아주 똑똑하다 성연 모순 발견 하다,"['드라마', '대중', '미소', '비서', '예쁘다', '기도', '아주', '똑똑하다', '성연', '모순', '발견', '하다']",Positive
9728,루n,18.05.30,,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,,[],Neutral
9729,이카루스의꿈,18.05.30,웹툰 웹툰 대로 소설 섬세하다 묘사 재다,김 비서가 왜 그럴까(애장판) 83화,1,댓글 달기,웹툰 웹툰 대로 소설 섬세하다 묘사 재다,"['웹툰', '웹툰', '대로', '소설', '섬세하다', '묘사', '재다']",Neutral
9730,알테르,18.05.30,모르다 재미있다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,모르다 재미있다,"['모르다', '재미있다']",Positive
9731,윤다정,18.05.30,장판 상황 맞다,김 비서가 왜 그럴까(애장판) 51화,1,댓글 달기,장판 상황 맞다,"['장판', '상황', '맞다']",Neutral
9732,나래,18.05.30,김비 팬덤 이름 팬더 가요 비서 기다리다 팬더 처럼 빠지다 기다리다 다크 써클 생기,김 비서가 왜 그럴까(애장판) 02화,1,댓글 달기,김비 팬덤 이름 팬더 가요 비서 기다리다 팬더 처럼 빠지다 기다리다 다크 써클 생기,"['김비', '팬덤', '이름', '팬더', '가요', '비서', '기다리다', '팬더', '처럼', '빠지다', '기다리다', '다크', '써클', '생기']",Neutral
9733,윤다정,18.05.30,거미 시체 나오다 론거 아니다 성연 정신과 폐쇠 병동 가야 하다,김 비서가 왜 그럴까(애장판) 49화,1,댓글 달기,거미 시체 나오다 론거 아니다 성연 정신과 폐쇠 병동 가야 하다,"['거미', '시체', '나오다', '론거', '아니다', '성연', '정신과', '폐쇠', '병동', '가야', '하다']",Neutral
9734,토순이,18.05.30,김비 부회장 김비 재미있다 자다 보다,김 비서가 왜 그럴까(애장판) 79화,1,댓글 달기,김비 부회장 김비 재미있다 자다 보다,"['김비', '부회장', '김비', '재미있다', '자다', '보다']",Positive
9735,김진영,18.05.30,김비 주행 기사 가요 만화 소설 드라마 가다 주행 하다 기사 운전 하다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,김비 주행 기사 가요 만화 소설 드라마 가다 주행 하다 기사 운전 하다,"['김비', '주행', '기사', '가요', '만화', '소설', '드라마', '가다', '주행', '하다', '기사', '운전', '하다']",Neutral
9736,쓰리맘💕>ㅂ<,18.05.30,만화 보다 소설 이겠다 드라마 기대 되다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,만화 보다 소설 이겠다 드라마 기대 되다,"['만화', '보다', '소설', '이겠다', '드라마', '기대', '되다']",Positive
9737,꼼스,18.05.30,드라마 전개 되다,김 비서가 왜 그럴까(애장판) 22화,1,댓글 달기,드라마 전개 되다,"['드라마', '전개', '되다']",Negative
9738,전재수,18.05.30,웹툰 보다 원작 좋다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,웹툰 보다 원작 좋다,"['웹툰', '보다', '원작', '좋다']",Positive
9739,Song,18.05.30,드라마 기대다,김 비서가 왜 그럴까(애장판) 46화,1,댓글 달기,드라마 기대다,"['드라마', '기대다']",Neutral
9740,기수,18.05.30,드라마 완전 기대,김 비서가 왜 그럴까(애장판) 68화,1,댓글 달기,드라마 완전 기대,"['드라마', '완전', '기대']",Positive
9741,Pikka,18.05.30,소설 재밌다 드라마 걱정 되다,김 비서가 왜 그럴까(애장판) 06화,1,댓글 달기,소설 재밌다 드라마 걱정 되다,"['소설', '재밌다', '드라마', '걱정', '되다']",Neutral
9742,김은선,18.05.30,납치 무섭다 다행하다 영준 미소 충격 드라마 재미있다 기대 되다,김 비서가 왜 그럴까(애장판) 53화,1,댓글 달기,납치 무섭다 다행하다 영준 미소 충격 드라마 재미있다 기대 되다,"['납치', '무섭다', '다행하다', '영준', '미소', '충격', '드라마', '재미있다', '기대', '되다']",Neutral
9743,사랑해요,18.05.30,재밌다 대만,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,재밌다 대만,"['재밌다', '대만']",Positive
9744,딸기우유와초코우유♡,18.05.30,김비 소설 웹툰 처럼 재미있다 좋다 배우 미도 대중,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,김비 소설 웹툰 처럼 재미있다 좋다 배우 미도 대중,"['김비', '소설', '웹툰', '처럼', '재미있다', '좋다', '배우', '미도', '대중']",Positive
9745,뚱구화이트,18.05.30,부메랑 좋다 서로 떨어지다 다시 만나다 사랑 다라 마음,김 비서가 왜 그럴까(애장판) 53화,1,댓글 달기,부메랑 좋다 서로 떨어지다 다시 만나다 사랑 다라 마음,"['부메랑', '좋다', '서로', '떨어지다', '다시', '만나다', '사랑', '다라', '마음']",Positive
9746,Ellie,18.05.30,김비 드라마 대박 날다,김 비서가 왜 그럴까(애장판) 78화,1,댓글 달기,김비 드라마 대박 날다,"['김비', '드라마', '대박', '날다']",Positive
9747,웹툰사랑^~^♡,18.05.30,,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,,[],Neutral
9748,소잉줌마,18.05.30,홍홍홍,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,홍홍홍,['홍홍홍'],Neutral
9749,비주얼깡패~☆,18.05.30,편집 넘다 심하다 하다 맞다 않다 차다,김 비서가 왜 그럴까(애장판) 65화,1,댓글 달기,편집 넘다 심하다 하다 맞다 않다 차다,"['편집', '넘다', '심하다', '하다', '맞다', '않다', '차다']",Negative
9750,홍남희,18.05.30,드라마 자다 되다,김 비서가 왜 그럴까(애장판) 80화,1,댓글 달기,드라마 자다 되다,"['드라마', '자다', '되다']",Neutral
9751,앤셜리,18.05.30,정신 아니다,김 비서가 왜 그럴까(애장판) 36화,1,댓글 달기,정신 아니다,"['정신', '아니다']",Neutral
9752,ch,18.05.30,김비 재밌다,김 비서가 왜 그럴까(애장판) 77화,1,댓글 달기,김비 재밌다,"['김비', '재밌다']",Positive
9753,ch,18.05.30,김비 응원 하다,김 비서가 왜 그럴까(애장판) 76화,1,댓글 달기,김비 응원 하다,"['김비', '응원', '하다']",Neutral
9754,앤셜리,18.05.30,미소 이상하다 감지 하다 에혀,김 비서가 왜 그럴까(애장판) 35화,1,댓글 달기,미소 이상하다 감지 하다 에혀,"['미소', '이상하다', '감지', '하다', '에혀']",Neutral
9755,설리,18.05.30,재밌다 자다 보고 가다,김 비서가 왜 그럴까(애장판) 83화,1,댓글 달기,재밌다 자다 보고 가다,"['재밌다', '자다', '보고', '가다']",Positive
9756,사랑스런뿅,18.05.30,기대다 나다 김비,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,기대다 나다 김비,"['기대다', '나다', '김비']",Neutral
9757,가드,18.05.30,저런 아빠 좋다,김 비서가 왜 그럴까(애장판) 74화,1,댓글 달기,저런 아빠 좋다,"['저런', '아빠', '좋다']",Positive
9758,쿠쿠냥이,18.05.30,드라마 갈래,김 비서가 왜 그럴까(애장판) 77화,1,댓글 달기,드라마 갈래,"['드라마', '갈래']",Neutral
9759,에이준,18.05.30,재미 드라마 기대 되다,김 비서가 왜 그럴까(애장판) 60화,1,댓글 달기,재미 드라마 기대 되다,"['재미', '드라마', '기대', '되다']",Positive
9760,어게인,18.05.30,응원 하다,김 비서가 왜 그럴까(애장판) 13화,1,댓글 달기,응원 하다,"['응원', '하다']",Neutral
9761,💚어쩌다어른💙💦💨,18.05.30,기대하다,김 비서가 왜 그럴까(애장판) 03화,1,댓글 달기,기대하다,['기대하다'],Positive
9762,카카페처돌이,18.05.30,드라마 대중 눈팅 하다 좋다,김 비서가 왜 그럴까(애장판) 79화,1,댓글 달기,드라마 대중 눈팅 하다 좋다,"['드라마', '대중', '눈팅', '하다', '좋다']",Positive
9763,아도니스2,18.05.30,응원 하다,김 비서가 왜 그럴까(애장판) 06화,1,댓글 달기,응원 하다,"['응원', '하다']",Neutral
9764,우유토끼와레몬파이,18.05.30,김치 무리 갑자기 다가오다 서다 대야 통째 들다 궁물 원샷 하다 느낌 끄다,김 비서가 왜 그럴까(애장판) 08화,1,댓글 달기,김치 무리 갑자기 다가오다 서다 대야 통째 들다 궁물 원샷 하다 느낌 끄다,"['김치', '무리', '갑자기', '다가오다', '서다', '대야', '통째', '들다', '궁물', '원샷', '하다', '느낌', '끄다']",Neutral
9765,우유토끼와레몬파이,18.05.30,오다 돼다 그거 잖다 원빈 빙의 되다,김 비서가 왜 그럴까(애장판) 07화,1,댓글 달기,오다 돼다 그거 잖다 원빈 빙의 되다,"['오다', '돼다', '그거', '잖다', '원빈', '빙의', '되다']",Neutral
9766,Truetothis,18.05.30,김비 푸아그라 캐비어 김밥 먹다 보고 싶다 드라마 나오다,김 비서가 왜 그럴까(애장판) 76화,1,댓글 달기,김비 푸아그라 캐비어 김밥 먹다 보고 싶다 드라마 나오다,"['김비', '푸아그라', '캐비어', '김밥', '먹다', '보고', '싶다', '드라마', '나오다']",Neutral
9767,유순화,18.05.30,드라마 기대 되다,김 비서가 왜 그럴까(애장판) 03화,1,댓글 달기,드라마 기대 되다,"['드라마', '기대', '되다']",Positive
9768,뿌뿌뿌~,18.05.30,소설 웹툰 꿀잼,김 비서가 왜 그럴까(애장판) 06화,1,댓글 달기,소설 웹툰 꿀잼,"['소설', '웹툰', '꿀잼']",Positive
9769,Truetothis,18.05.30,김비 태양 이의 얼굴 말투 영준 그대로 따르다 가다 미소 닮다 기대,김 비서가 왜 그럴까(애장판) 75화,1,댓글 달기,김비 태양 이의 얼굴 말투 영준 그대로 따르다 가다 미소 닮다 기대,"['김비', '태양', '이의', '얼굴', '말투', '영준', '그대로', '따르다', '가다', '미소', '닮다', '기대']",Positive
9770,먼지,18.05.30,이벤트 참여 완료 재밌다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,이벤트 참여 완료 재밌다,"['이벤트', '참여', '완료', '재밌다']",Positive
9771,내편해라,18.05.30,보다 그렇다 영준 멋지다,김 비서가 왜 그럴까(애장판) 04화,1,댓글 달기,보다 그렇다 영준 멋지다,"['보다', '그렇다', '영준', '멋지다']",Positive
9772,황금박쥐,18.05.30,먹다 없다,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,먹다 없다,"['먹다', '없다']",Negative
9773,ksj,18.05.30,재밌다,김 비서가 왜 그럴까(애장판) 04화,1,댓글 달기,재밌다,['재밌다'],Positive
9774,명이,18.05.30,장판 어화 밀리 보다 스포,김 비서가 왜 그럴까(애장판) 64화,1,댓글 달기,장판 어화 밀리 보다 스포,"['장판', '어화', '밀리', '보다', '스포']",Negative
9775,우유토끼와레몬파이,18.05.30,우황 청심환 필요하다,김 비서가 왜 그럴까(애장판) 05화,1,댓글 달기,우황 청심환 필요하다,"['우황', '청심환', '필요하다']",Neutral
9776,wnsrl2828♥,18.05.30,오우,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,오우,['오우'],Neutral
9777,좋은사람ᆢ^^,18.05.30,와우 이벤트 참여 하다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,와우 이벤트 참여 하다,"['와우', '이벤트', '참여', '하다']",Positive
9778,머찐걸~💕,18.05.30,옛날 캐쉬 지르다 보다 추첨 하다 캐쉬 주다 하다 보다 되다,김 비서가 왜 그럴까(애장판) 74화,1,댓글 달기,옛날 캐쉬 지르다 보다 추첨 하다 캐쉬 주다 하다 보다 되다,"['옛날', '캐쉬', '지르다', '보다', '추첨', '하다', '캐쉬', '주다', '하다', '보다', '되다']",Neutral
9779,수호,18.05.30,만화 재미있다 그림 남다 반하다 겁니다,김 비서가 왜 그럴까(애장판) 03화,1,댓글 달기,만화 재미있다 그림 남다 반하다 겁니다,"['만화', '재미있다', '그림', '남다', '반하다', '겁니다']",Positive
9780,버블티,18.05.30,식신 신다 일상 입맛,김 비서가 왜 그럴까(애장판) 76화,1,댓글 달기,식신 신다 일상 입맛,"['식신', '신다', '일상', '입맛']",Neutral
9781,클록,18.05.30,드라마 기대 되다 재미있다 읽다 이르다 기대 되다,김 비서가 왜 그럴까(애장판) 83화,1,댓글 달기,드라마 기대 되다 재미있다 읽다 이르다 기대 되다,"['드라마', '기대', '되다', '재미있다', '읽다', '이르다', '기대', '되다']",Positive
9782,예나사랑,18.05.30,영준 군대 가다 오다 중간 안보 여서 완벽 자체 남자에게 미소 비서 존재 대단하다 보이,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,영준 군대 가다 오다 중간 안보 여서 완벽 자체 남자에게 미소 비서 존재 대단하다 보이,"['영준', '군대', '가다', '오다', '중간', '안보', '여서', '완벽', '자체', '남자에게', '미소', '비서', '존재', '대단하다', '보이']",Positive
9783,카제하야,18.05.30,아빠 걱정,김 비서가 왜 그럴까(애장판) 79화,1,댓글 달기,아빠 걱정,"['아빠', '걱정']",Negative
9784,버블티,18.05.30,김비 빅뱅 안드로메다 슈퍼 노바소닉 어딘가 묻히다 개껌 부활 하다 태양 고프다 영준 미소 물리 받다 대단하다 재목 겠다 보배 깜찍일까 궁금하다 드라마 매일 기다리다,김 비서가 왜 그럴까(애장판) 75화,1,댓글 달기,김비 빅뱅 안드로메다 슈퍼 노바소닉 어딘가 묻히다 개껌 부활 하다 태양 고프다 영준 미소 물리 받다 대단하다 재목 겠다 보배 깜찍일까 궁금하다 드라마 매일 기다리다,"['김비', '빅뱅', '안드로메다', '슈퍼', '노바소닉', '어딘가', '묻히다', '개껌', '부활', '하다', '태양', '고프다', '영준', '미소', '물리', '받다', '대단하다', '재목', '겠다', '보배', '깜찍일까', '궁금하다', '드라마', '매일', '기다리다']",Positive
9785,카제하야,18.05.30,재밌다,김 비서가 왜 그럴까(애장판) 77화,1,댓글 달기,재밌다,['재밌다'],Positive
9786,여행,18.05.30,드라마 기대하다,김 비서가 왜 그럴까(애장판) 83화,1,댓글 달기,드라마 기대하다,"['드라마', '기대하다']",Positive
9787,커피나무,18.05.30,드라마 기대 되다,김 비서가 왜 그럴까(애장판) 80화,1,댓글 달기,드라마 기대 되다,"['드라마', '기대', '되다']",Positive
9788,수니,18.05.30,드라마 완전 기대다,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,드라마 완전 기대다,"['드라마', '완전', '기대다']",Neutral
9789,보자기,18.05.30,캐시 좋다 보다 주지 않다 생색 내기 바뿌노,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,캐시 좋다 보다 주지 않다 생색 내기 바뿌노,"['캐시', '좋다', '보다', '주지', '않다', '생색', '내기', '바뿌노']",Positive
9790,강가딘,18.05.30,드라마 대중 재밌다,김 비서가 왜 그럴까(애장판) 10화,1,댓글 달기,드라마 대중 재밌다,"['드라마', '대중', '재밌다']",Positive
9791,부어라마셔라,18.05.30,드라마 기대 되다,김 비서가 왜 그럴까(애장판) 80화,1,댓글 달기,드라마 기대 되다,"['드라마', '기대', '되다']",Positive
9792,쿨링이필요해,18.05.30,개인 드라마 예고편 보다 서다 영준 코믹 분위기 생각 하다 영준 본인 진지하다 보기 그게 웃기 뚜껑 열다 보다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,개인 드라마 예고편 보다 서다 영준 코믹 분위기 생각 하다 영준 본인 진지하다 보기 그게 웃기 뚜껑 열다 보다,"['개인', '드라마', '예고편', '보다', '서다', '영준', '코믹', '분위기', '생각', '하다', '영준', '본인', '진지하다', '보기', '그게', '웃기', '뚜껑', '열다', '보다']",Positive
9793,혀니,18.05.30,드라마 나오다 기대하다,김 비서가 왜 그럴까(애장판) 67화,1,댓글 달기,드라마 나오다 기대하다,"['드라마', '나오다', '기대하다']",Positive
9794,뽀송이,18.05.30,김비 웹툰 보고 소설 보다 존잼,김 비서가 왜 그럴까(애장판) 02화,1,댓글 달기,김비 웹툰 보고 소설 보다 존잼,"['김비', '웹툰', '보고', '소설', '보다', '존잼']",Neutral
9795,블루스카이,18.05.30,김비 비서 비서 되다 싶다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,김비 비서 비서 되다 싶다,"['김비', '비서', '비서', '되다', '싶다']",Neutral
9796,너울거리는,18.05.30,김비 크다 미소 크러시 미소,김 비서가 왜 그럴까(애장판) 74화,1,댓글 달기,김비 크다 미소 크러시 미소,"['김비', '크다', '미소', '크러시', '미소']",Positive
9797,너울거리는,18.05.30,태양 귀엽다,김 비서가 왜 그럴까(애장판) 73화,1,댓글 달기,태양 귀엽다,"['태양', '귀엽다']",Positive
9798,Trisha!,18.05.30,먹다 자고 하다 자고 하다 먹다 하다 자고 먹다,김 비서가 왜 그럴까(애장판) 67화,1,댓글 달기,먹다 자고 하다 자고 하다 먹다 하다 자고 먹다,"['먹다', '자고', '하다', '자고', '하다', '먹다', '하다', '자고', '먹다']",Neutral
9799,세정,18.05.30,김비 예시 좋다 들다 아니다 생각 해보다 킴스 아주 좋다,김 비서가 왜 그럴까(애장판) 16화,1,댓글 달기,김비 예시 좋다 들다 아니다 생각 해보다 킴스 아주 좋다,"['김비', '예시', '좋다', '들다', '아니다', '생각', '해보다', '킴스', '아주', '좋다']",Positive
9800,줌마,18.05.30,,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,,[],Neutral
9801,심향,18.05.30,드라마 대중 대만 대박 조짐,김 비서가 왜 그럴까(애장판) 77화,1,댓글 달기,드라마 대중 대만 대박 조짐,"['드라마', '대중', '대만', '대박', '조짐']",Positive
9802,책이좋아용^^,18.05.30,대박 미소 화이팅,김 비서가 왜 그럴까(애장판) 09화,1,댓글 달기,대박 미소 화이팅,"['대박', '미소', '화이팅']",Positive
9803,시느아,18.05.30,차다 부모님 자식 결혼 하다 아프다 하다,김 비서가 왜 그럴까(애장판) 10화,1,댓글 달기,차다 부모님 자식 결혼 하다 아프다 하다,"['차다', '부모님', '자식', '결혼', '하다', '아프다', '하다']",Negative
9804,슈밍체니,18.05.30,드라마 대중 진짜 대중 이구 소설 만화 보다 드라마 보다 기대 되다,김 비서가 왜 그럴까(애장판) 05화,1,댓글 달기,드라마 대중 진짜 대중 이구 소설 만화 보다 드라마 보다 기대 되다,"['드라마', '대중', '진짜', '대중', '이구', '소설', '만화', '보다', '드라마', '보다', '기대', '되다']",Positive
9805,블링블링,18.05.29,드라마 갈래 더보 웹툰 뜨다 작년 몇번 대여 하다 보다 모르다 아니다 싶다 웹툰 소장 진작 소장 보다 하다 그렇다 만화책 나오니 예약 드라마 완전 완전 기대 되다 포스터 보고 완전 깜놀 하다 크다 띠용 김비 대박 대박 날다,김 비서가 왜 그럴까(애장판) 84화(완결),1,댓글 달기,드라마 갈래 더보 웹툰 뜨다 작년 몇번 대여 하다 보다 모르다 아니다 싶다 웹툰 소장 진작 소장 보다 하다 그렇다 만화책 나오니 예약 드라마 완전 완전 기대 되다 포스터 보고 완전 깜놀 하다 크다 띠용 김비 대박 대박 날다,"['드라마', '갈래', '더보', '웹툰', '뜨다', '작년', '몇번', '대여', '하다', '보다', '모르다', '아니다', '싶다', '웹툰', '소장', '진작', '소장', '보다', '하다', '그렇다', '만화책', '나오니', '예약', '드라마', '완전', '완전', '기대', '되다', '포스터', '보고', '완전', '깜놀', '하다', '크다', '띠용', '김비', '대박', '대박', '날다']",Positive
9806,李泰容,18.05.29,김비 제로 마일 영준 미소 따다 통해 캐릭터 독자 거리 없어지다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,김비 제로 마일 영준 미소 따다 통해 캐릭터 독자 거리 없어지다,"['김비', '제로', '마일', '영준', '미소', '따다', '통해', '캐릭터', '독자', '거리', '없어지다']",Neutral
9807,봄이왔어,18.05.29,김비 비서 비서 싶다,김 비서가 왜 그럴까(애장판) 74화,1,댓글 달기,김비 비서 비서 싶다,"['김비', '비서', '비서', '싶다']",Neutral
9808,블링블링,18.05.29,김비 사빠 우린 비서 사랑 하다 빠순이 미소 무섭다 웃다 하다 하다 미소 비서 영미 사모 영준 미소 사랑 하다 사람 모임 써다 아니다 여러가지 생각 써다 보아 김비 화이,김 비서가 왜 그럴까(애장판) 84화(완결),1,댓글 달기,김비 사빠 우린 비서 사랑 하다 빠순이 미소 무섭다 웃다 하다 하다 미소 비서 영미 사모 영준 미소 사랑 하다 사람 모임 써다 아니다 여러가지 생각 써다 보아 김비 화이,"['김비', '사빠', '우린', '비서', '사랑', '하다', '빠순이', '미소', '무섭다', '웃다', '하다', '하다', '미소', '비서', '영미', '사모', '영준', '미소', '사랑', '하다', '사람', '모임', '써다', '아니다', '여러가지', '생각', '써다', '보아', '김비', '화이']",Positive
9809,밍밍,18.05.29,드라마 대중 완벽하다 소화 하다 아니다 해내다 생각 하다,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,드라마 대중 완벽하다 소화 하다 아니다 해내다 생각 하다,"['드라마', '대중', '완벽하다', '소화', '하다', '아니다', '해내다', '생각', '하다']",Positive
9810,‼‼‼‼스포_하지_마‼‼‼‼,18.05.29,김비 스마일 이요 비서 이렇다 보다 미소 짓다 의미 김비 이름 미소 잖다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,김비 스마일 이요 비서 이렇다 보다 미소 짓다 의미 김비 이름 미소 잖다,"['김비', '스마일', '이요', '비서', '이렇다', '보다', '미소', '짓다', '의미', '김비', '이름', '미소', '잖다']",Positive
9811,시아,18.05.29,드라마 대중 만화 소설 가지 보다 첫방송 하다 되다 김비 가왜 그렇다 도기 돼다 얼릉 보고 싶다,김 비서가 왜 그럴까(애장판) 06화,1,댓글 달기,드라마 대중 만화 소설 가지 보다 첫방송 하다 되다 김비 가왜 그렇다 도기 돼다 얼릉 보고 싶다,"['드라마', '대중', '만화', '소설', '가지', '보다', '첫방송', '하다', '되다', '김비', '가왜', '그렇다', '도기', '돼다', '얼릉', '보고', '싶다']",Neutral
9812,lua_rouge,18.05.29,드라마 대중 제발 망하다 않다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,드라마 대중 제발 망하다 않다,"['드라마', '대중', '제발', '망하다', '않다']",Negative
9813,젠야,18.05.29,김비 미소 어떻다 미소 영준 미소 짓다 영준 이름 이예,김 비서가 왜 그럴까,1,댓글 달기,김비 미소 어떻다 미소 영준 미소 짓다 영준 이름 이예,"['김비', '미소', '어떻다', '미소', '영준', '미소', '짓다', '영준', '이름', '이예']",Positive
9814,그레이로즈,18.05.29,박서준 박민영 오빠 연하남 생각 해보다 미소 미스 매치,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,박서준 박민영 오빠 연하남 생각 해보다 미소 미스 매치,"['박서준', '박민영', '오빠', '연하남', '생각', '해보다', '미소', '미스', '매치']",Positive
9815,Snowmaniya,18.05.29,영준 형님 리다 미소 관심 많다 신지,김 비서가 왜 그럴까(애장판) 26화,1,댓글 달기,영준 형님 리다 미소 관심 많다 신지,"['영준', '형님', '리다', '미소', '관심', '많다', '신지']",Positive
9816,정네로미,18.05.29,드라마 캐스팅 완벽하다 완전 대중,김 비서가 왜 그럴까,1,댓글 달기,드라마 캐스팅 완벽하다 완전 대중,"['드라마', '캐스팅', '완벽하다', '완전', '대중']",Positive
9817,규태,18.05.29,드라마 기대 되다,김 비서가 왜 그럴까(애장판) 84화(완결),1,댓글 달기,드라마 기대 되다,"['드라마', '기대', '되다']",Positive
9818,jennifer,18.05.29,어리다 대도 사람 영준 어리다 정해진 운명,김 비서가 왜 그럴까(애장판) 53화,1,댓글 달기,어리다 대도 사람 영준 어리다 정해진 운명,"['어리다', '대도', '사람', '영준', '어리다', '정해진', '운명']",Neutral
9819,큐티쀼띠,18.05.29,김비 김비 서방 비서 김비 서방,김 비서가 왜 그럴까(애장판) 76화,1,댓글 달기,김비 김비 서방 비서 김비 서방,"['김비', '김비', '서방', '비서', '김비', '서방']",Neutral
9820,lucy,18.05.29,김비 드라마 나오다 소설 처럼 나오다 야하다,김 비서가 왜 그럴까(애장판) 65화,1,댓글 달기,김비 드라마 나오다 소설 처럼 나오다 야하다,"['김비', '드라마', '나오다', '소설', '처럼', '나오다', '야하다']",Neutral
9821,찌니지니,18.05.29,김비 소설 만화 재다 보고 드라마 기대 돼다 박서준 홧팅,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,김비 소설 만화 재다 보고 드라마 기대 돼다 박서준 홧팅,"['김비', '소설', '만화', '재다', '보고', '드라마', '기대', '돼다', '박서준', '홧팅']",Positive
9822,블루문,18.05.29,드라마 대중 원작 가다 각색 정도 일지 넘다 궁금하다,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,드라마 대중 원작 가다 각색 정도 일지 넘다 궁금하다,"['드라마', '대중', '원작', '가다', '각색', '정도', '일지', '넘다', '궁금하다']",Neutral
9823,야수,18.05.29,김비 기무라 감사하다,김 비서가 왜 그럴까(애장판) 01화,1,댓글 달기,김비 기무라 감사하다,"['김비', '기무라', '감사하다']",Positive
9824,지오화장품,18.05.29,미소 영준 영원하다 되다 비서 전설 남다,김 비서가 왜 그럴까(애장판) 82화,1,댓글 달기,미소 영준 영원하다 되다 비서 전설 남다,"['미소', '영준', '영원하다', '되다', '비서', '전설', '남다']",Positive
9825,지오화장품,18.05.29,지난 추억 풀다 재미 쏠쏠하다,김 비서가 왜 그럴까(애장판) 80화,1,댓글 달기,지난 추억 풀다 재미 쏠쏠하다,"['지난', '추억', '풀다', '재미', '쏠쏠하다']",Positive
9826,결사반대,18.05.29,김비 나다 거미 싫다,김 비서가 왜 그럴까(애장판) 74화,1,댓글 달기,김비 나다 거미 싫다,"['김비', '나다', '거미', '싫다']",Negative
9827,강귤밥먹자,18.05.29,김비 토끼 거북이 수지 내놓다 토끼 저리 멍충 거북,김 비서가 왜 그럴까(애장판) 80화,1,댓글 달기,김비 토끼 거북이 수지 내놓다 토끼 저리 멍충 거북,"['김비', '토끼', '거북이', '수지', '내놓다', '토끼', '저리', '멍충', '거북']",Neutral
9828,지오화장품,18.05.29,태양 커서 보배 결혼 날다,김 비서가 왜 그럴까(애장판) 75화,1,댓글 달기,태양 커서 보배 결혼 날다,"['태양', '커서', '보배', '결혼', '날다']",Positive
